datum,kraj,pomucka,pocet,zmena
2020-03-31,Zlínský kraj,Roušky,87787,87787
2020-03-31,Zlínský kraj,Rukavice,24450,24450
2020-03-31,Zlínský kraj,Rychlotesty,2000,2000
2020-03-31,Zlínský kraj,Tampóny,300,300
2020-03-31,Zlínský kraj,Teploměry,0,0
2020-03-31,Zlínský kraj,Termokamery,0,0
2020-03-31,Zlínský kraj,Štíty,410,410
2020-03-31,Ústecký kraj,Brýle,820,820
2020-03-31,Ústecký kraj,Dezinfekce (l),1715,1715
2020-03-31,Ústecký kraj,Filtry k polomaskám,0,0
2020-03-31,Ústecký kraj,Návleky na obuv,0,0
2020-03-31,Ústecký kraj,Ochranné oděvy,2420,2420
2020-03-31,Ústecký kraj,Odběrové sady,2100,2100
2020-03-31,Ústecký kraj,Ostatní,0,0
2020-03-31,Ústecký kraj,Plicní ventilátory,0,0
2020-03-31,Ústecký kraj,Polomasky,0,0
2020-03-31,Ústecký kraj,Příslušenství k plicním ventilátorům,0,0
2020-03-31,Ústecký kraj,Respirátory,35735,35735
2020-03-31,Ústecký kraj,Roušky,95005,95005
2020-03-31,Ústecký kraj,Rukavice,24900,24900
2020-03-31,Ústecký kraj,Rychlotesty,3000,3000
2020-03-31,Ústecký kraj,Tampóny,400,400
2020-03-31,Ústecký kraj,Teploměry,0,0
2020-03-31,Ústecký kraj,Termokamery,0,0
2020-03-31,Ústecký kraj,Štíty,1040,1040
2020-04-01,CZ010,Brýle,0,0
2020-04-01,CZ010,Dezinfekce (l),0,0
2020-04-01,CZ010,Filtry k polomaskám,0,0
2020-04-01,CZ010,Návleky na obuv,0,0
2020-04-01,CZ010,Ochranné oděvy,0,0
2020-04-01,CZ010,Odběrové sady,0,0
2020-04-01,CZ010,Ostatní,0,0
2020-04-01,CZ010,Plicní ventilátory,0,0
2020-04-01,CZ010,Polomasky,0,0
2020-04-01,CZ010,Příslušenství k plicním ventilátorům,0,0
2020-04-01,CZ010,Respirátory,0,0
2020-04-01,CZ010,Roušky,0,0
2020-04-01,CZ010,Rukavice,0,0
2020-04-01,CZ010,Rychlotesty,0,0
2020-04-01,CZ010,Tampóny,0,0
2020-04-01,CZ010,Teploměry,0,0
2020-04-01,CZ010,Termokamery,0,0
2020-04-01,CZ010,Štíty,0,0
2020-04-01,CZ020,Brýle,0,0
2020-04-01,CZ020,Dezinfekce (l),0,0
2020-04-01,CZ020,Filtry k polomaskám,0,0
