pomucka,kraj,celkem,2020-03-31,2020-04-01,2020-04-03,2020-04-04,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-20,2020-05-21,2020-05-25,2020-05-27,2020-05-28,2020-05-29,2020-06-03,2020-06-04,2020-06-05,2020-06-10,2020-06-11,2020-06-12,2020-06-15,2020-08-28,2020-10-01
Roušky,CZ042,1679016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1177608,1177608,1263466,1264016,1264016,1264016,1272016,1272016,1272016,1293016,1293016,1293016,1679016,1679016,1679016,1679016
Rukavice,CZ042,617183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582233,582233,582233,586633,586633,586633,588983,588983,588983,594583,594583,594583,617183,617183,617183,617183
Rychlotesty,CZ042,38121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36621,36621,36621,36621,36621,36621,36621,36621,36621,36621,36621,36621,38121,38121,38121,38121
Tampóny,CZ042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ042,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
Termokamery,CZ042,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,31,31,31,31,31,31,31,31
Štíty,CZ042,4089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3469,3469,3469,3469,3469,3469,3569,3569,3569,3869,3869,3869,4089,4089,4089,4089
Brýle,CZ051,1995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1835,1835,1835,1835,1835,1835,1835,1835,1835,1895,1895,1895,1995,1995,1995,1995
Dezinfekce (l),CZ051,1205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,1200,1200,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205,1205
Filtry k polomaskám,CZ051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Návleky na obuv,CZ051,2050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Ochranné oděvy,CZ051,17840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15540,15540,15540,15540,15540,15540,15540,15540,15540,17040,17040,17040,17840,17840,17840,17840
Odběrové sady,CZ051,22100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18100,18100,18100,18100,18100,18100,18100,18100,18100,22100,22100,22100,22100,22100,22100,22100
Ostatní,CZ051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,CZ051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Příslušenství k plicním ventilátorům,CZ051,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ051,210290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194180,194180,194180,194690,194690,194690,195090,195090,195090,197490,197490,197490,210290,210290,210290,210290
Roušky,CZ051,809900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680973,680973,725900,736900,736900,736900,738900,738900,738900,762900,762900,762900,809900,809900,809900,809900
Rukavice,CZ051,266269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254069,254069,254069,258669,258669,258669,259269,259269,259269,264269,264269,264269,266269,266269,266269,266269
Rychlotesty,CZ051,31810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30310,30310,30310,30310,30310,30310,30310,30310,30310,30310,30310,30310,31810,31810,31810,31810
Tampóny,CZ051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ051,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40
Termokamery,CZ051,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,21,21,21,21,21,21,21,21
Štíty,CZ051,2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1725,1725,1725,1725,1725,1725,1725,1725,1725,1925,1925,1925,2125,2125,2125,2125
Brýle,CZ052,3935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3435,3935,3935,3935,3935
Dezinfekce (l),CZ052,2650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2645,2645,2645,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650,2650
Filtry k polomaskám,CZ052,2664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644,1644,1644,2384,2384,2384,2484,2484,2484,2664,2664,2664,2664,2664,2664,2664
Návleky na obuv,CZ052,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,500,500,500,1100,1100,1100,1100,1100,1100,1100
Ochranné oděvy,CZ052,78249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33389,33389,33389,33449,33449,33449,49549,49549,49549,73949,73949,73949,78249,78249,78249,78249
Odběrové sady,CZ052,38130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9300,9300,9300,13300,13300,13300,14130,14130,14130,26130,26130,26130,38130,38130,38130,38130
Ostatní,CZ052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ052,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,CZ052,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,500,800,800,800,800,800,800,800,800,800,800,800,800,800
Příslušenství k plicním ventilátorům,CZ052,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ052,733025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491125,491125,491125,542535,542535,542535,615425,615425,615425,710425,710425,710425,733025,733025,733025,733025
Roušky,CZ052,1915835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241315,1241315,1297835,1399835,1399835,1399835,1555835,1555835,1555835,1763835,1899835,1899835,1915835,1915835,1915835,1915835
Rukavice,CZ052,722324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,634174,634174,634174,641124,641124,641124,693324,693324,693324,694924,694924,694924,722324,722324,722324,722324
Rychlotesty,CZ052,32969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31469,31469,31469,31469,31469,31469,31469,31469,31469,31469,31469,31469,32969,32969,32969,32969
Tampóny,CZ052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ052,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105
Termokamery,CZ052,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,23,23,23,23,23,23,23,23
Štíty,CZ052,2155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1975,1975,1975,2005,2005,2005,2105,2105,2105,2105,2105,2105,2155,2155,2155,2155
Brýle,CZ053,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2605,2605,2605,2605,2605,2605,2605,2605,2605,2805,2805,2805,2805,2805,2805,2805
Dezinfekce (l),CZ053,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1125,1125,1125,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130,1130
Filtry k polomaskám,CZ053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Návleky na obuv,CZ053,15780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6480,6480,6480,6480,6480,6480,10480,10480,10480,15780,15780,15780,15780,15780,15780,15780
Ochranné oděvy,CZ053,66743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28542,28542,28542,28543,28543,28543,37743,37743,37743,48043,48043,48043,66743,66743,66743,66743
Odběrové sady,CZ053,20300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12100,12100,12100,13450,13450,13450,14280,14280,14280,19280,19280,19280,20300,20300,20300,20300
Ostatní,CZ053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ053,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,CZ053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Příslušenství k plicním ventilátorům,CZ053,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ053,432980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288810,288810,288810,304830,304830,304830,323530,323530,323530,344380,344380,344380,432980,432980,432980,432980
Roušky,CZ053,1991219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,829533,829533,881819,885219,885219,885219,893219,893219,893219,905219,905219,905219,1991219,1991219,1991219,1991219
Rukavice,CZ053,426804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301654,301654,301654,307404,307404,307404,312804,312804,312804,328604,328604,328604,426804,426804,426804,426804
Rychlotesty,CZ053,32638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31138,31138,31138,31138,31138,31138,31138,31138,31138,31138,31138,31138,32638,32638,32638,32638
Tampóny,CZ053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ053,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
Termokamery,CZ053,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,22,22,22,22,22,22,22,22
Štíty,CZ053,4890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3690,3690,3690,3790,3790,3790,3790,3790,3790,4390,4390,4390,4890,4890,4890,4890
Brýle,CZ063,11920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,1910,1920,1920,1920,1920,1920,1920,1920,1920,1920,11920,11920,11920,11920,11920
Dezinfekce (l),CZ063,2060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2055,2055,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060,2060
Filtry k polomaskám,CZ063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Návleky na obuv,CZ063,11000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9800,9800,10300,10300,10300,10800,10800,10800,11000,11000,11000,11000,11000,11000,11000,11000
Ochranné oděvy,CZ063,68960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6790,6790,6860,6860,6860,8360,8360,8360,9860,9860,9860,68960,68960,68960,68960,68960
Odběrové sady,CZ063,10170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7800,7800,8650,8650,8650,9070,9070,9070,9870,9870,9870,10170,10170,10170,10170,10170
Ostatní,CZ063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ063,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Polomasky,CZ063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Příslušenství k plicním ventilátorům,CZ063,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ063,345317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218397,218397,219167,219167,219167,220517,220517,220517,226117,226117,226117,345317,345317,345317,345317,345317
Roušky,CZ063,1383029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1029069,1029069,1094029,1094029,1094029,1120029,1120029,1120029,1134029,1134029,1260029,1383029,1383029,1383029,1383029,1383029
Rukavice,CZ063,324007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273807,273807,275407,275407,275407,276807,276807,276807,278007,278007,278007,324007,324007,324007,324007,324007
Rychlotesty,CZ063,31893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30393,30393,30393,30393,30393,30393,30393,30393,30393,30393,30393,31893,31893,31893,31893,31893
Tampóny,CZ063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ063,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Termokamery,CZ063,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,39,39,39,39,39,39,39,39
Štíty,CZ063,2805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2495,2805,2805,2805,2805,2805
Brýle,CZ064,5320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4170,4170,4220,4220,4220,4250,4250,4250,4320,4320,4320,5320,5320,5320,5320,5320
Dezinfekce (l),CZ064,9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9620,9620,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625,9625
Filtry k polomaskám,CZ064,6293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3313,3313,5403,5403,5403,5853,5853,5853,6293,6293,6293,6293,6293,6293,6293,6293
Návleky na obuv,CZ064,43497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10497,10497,10997,10997,10997,16297,16297,16297,43497,43497,43497,43497,43497,43497,43497,43497
Ochranné oděvy,CZ064,209086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104926,104926,107436,107436,107436,143386,143386,143386,184386,184386,184386,209086,209086,209086,209086,209086
Odběrové sady,CZ064,152675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104600,104600,119400,119400,119400,126490,126490,126490,141290,141290,141290,152675,152675,152675,152675,152675
Ostatní,CZ064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ064,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,22,22,22,22,22,22,22,22
Polomasky,CZ064,2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1041,1041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041,2041
Příslušenství k plicním ventilátorům,CZ064,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Respirátory,CZ064,1098399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661699,661699,673349,673349,673349,739699,739699,739699,791299,791299,791299,1098399,1098399,1098399,1098399,1098399
Roušky,CZ064,4813612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2608552,2608552,2759412,2759412,2759412,3035412,3035412,3035412,3378412,3378412,3626612,4813612,4813612,4813612,4813612,4813612
Rukavice,CZ064,917734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,721184,721184,730284,730284,730284,761334,761334,761334,792534,792534,792534,917734,917734,917734,917734,917734
Rychlotesty,CZ064,61684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60184,60184,60184,60184,60184,60184,60184,60184,60184,60184,60184,61684,61684,61684,61684,61684
Tampóny,CZ064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teploměry,CZ064,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241,241
Termokamery,CZ064,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,20,20,20,20,20,41,41,41,41,41,41,41,41
Štíty,CZ064,10065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4992,4992,5007,5007,5007,6107,6107,6107,6307,6307,6307,10065,10065,10065,10065,10065
Brýle,CZ071,3692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3192,3692,3692,3692,3692,3692
Dezinfekce (l),CZ071,3730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3725,3725,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730,3730
Filtry k polomaskám,CZ071,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1621,1621,2346,2346,2346,2696,2696,2696,2956,2956,2956,2956,2956,2956,2956,2956
Návleky na obuv,CZ071,2150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050,2050,2050,2050,2050,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150,2150
Ochranné oděvy,CZ071,18485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14385,14385,14885,14885,14885,14885,14885,14885,15885,15885,15885,18485,18485,18485,18485,18485
Odběrové sady,CZ071,21600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600,21600
Ostatní,CZ071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plicní ventilátory,CZ071,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,9,9,9,9,9,9,9,9
Polomasky,CZ071,850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,500,850,850,850,850,850,850,850,850,850,850,850,850,850,850
Příslušenství k plicním ventilátorům,CZ071,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Respirátory,CZ071,389504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340774,340774,343564,343564,343564,357004,357004,357004,374704,374704,374704,389504,389504,389504,389504,389504
Roušky,CZ071,2026396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1506476,1506476,1578796,1578796,1578796,1584796,1584796,1584796,1592796,1592796,1930396,2026396,2026396,2026396,2026396,2026396
Rukavice,CZ071,522558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460258,460258,465258,465258,465258,466258,466258,466258,471658,471658,471658,522558,522558,522558,522558,522558
