datum,kraj_nuts_kod,okres_lau_kod,kumulativni_pocet_nakazenych,kumulativni_pocet_vylecenych,kumulativni_pocet_umrti
2020-04-08,CZ0322,CZ032,37,3,0
2020-04-08,CZ0323,CZ032,63,16,1
2020-04-08,CZ0324,CZ032,8,1,0
2020-04-08,CZ0325,CZ032,10,2,0
2020-04-08,CZ0326,CZ032,3,1,0
2020-04-08,CZ0327,CZ032,22,0,0
2020-04-08,CZ0411,CZ041,108,10,4
2020-04-08,CZ0412,CZ041,47,8,3
2020-04-08,CZ0413,CZ041,22,4,0
2020-04-08,CZ0421,CZ042,38,20,0
2020-04-08,CZ0422,CZ042,16,3,0
2020-04-08,CZ0423,CZ042,160,8,4
2020-04-08,CZ0424,CZ042,13,2,0
2020-04-08,CZ0425,CZ042,19,5,0
2020-04-08,CZ0426,CZ042,30,6,0
2020-04-08,CZ0427,CZ042,70,19,0
2020-04-08,CZ0511,CZ051,6,1,0
2020-04-08,CZ0512,CZ051,66,5,0
2020-04-08,CZ0513,CZ051,63,2,1
2020-04-08,CZ0514,CZ051,32,1,1
2020-04-08,CZ0521,CZ052,50,8,0
2020-04-08,CZ0522,CZ052,18,2,1
2020-04-08,CZ0523,CZ052,59,3,0
2020-04-08,CZ0524,CZ052,13,0,0
2020-04-08,CZ0525,CZ052,18,1,1
2020-04-08,CZ0531,CZ053,67,0,0
2020-04-08,CZ0532,CZ053,97,4,2
2020-04-08,CZ0533,CZ053,16,2,0
2020-04-08,CZ0534,CZ053,22,10,0
2020-04-08,CZ0631,CZ063,70,3,3
2020-04-08,CZ0632,CZ063,11,1,0
2020-04-08,CZ0633,CZ063,1,0,0
2020-04-08,CZ0634,CZ063,26,1,0
2020-04-08,CZ0635,CZ063,38,3,0
2020-04-08,CZ0641,CZ064,10,4,0
2020-04-08,CZ0642,CZ064,119,29,1
2020-04-08,CZ0643,CZ064,44,9,1
2020-04-08,CZ0644,CZ064,71,6,4
2020-04-08,CZ0645,CZ064,9,5,0
2020-04-08,CZ0646,CZ064,17,1,0
2020-04-08,CZ0647,CZ064,45,3,0
2020-04-08,CZ0711,CZ071,5,0,0
2020-04-08,CZ0712,CZ071,395,36,7
2020-04-08,CZ0713,CZ071,37,4,0
2020-04-08,CZ0714,CZ071,20,1,0
2020-04-08,CZ0715,CZ071,40,2,0
2020-04-08,CZ0721,CZ072,23,4,0
2020-04-08,CZ0722,CZ072,120,27,1
2020-04-08,CZ0723,CZ072,35,10,0
2020-04-08,CZ0724,CZ072,48,5,0
2020-04-08,CZ0801,CZ080,21,3,1
2020-04-08,CZ0802,CZ080,138,11,3
2020-04-08,CZ0803,CZ080,98,11,0
2020-04-08,CZ0804,CZ080,45,1,0
2020-04-08,CZ0805,CZ080,64,7,2
2020-04-08,CZ0806,CZ080,193,17,3
2020-04-09,CZ0100,CZ010,1366,296,51
2020-04-09,CZ020A,CZ020,111,18,0
2020-04-09,CZ020B,CZ020,39,7,1
2020-04-09,CZ020C,CZ020,10,2,0
2020-04-09,CZ0201,CZ020,68,5,0
2020-04-09,CZ0202,CZ020,43,7,0
2020-04-09,CZ0203,CZ020,82,8,4
2020-04-09,CZ0204,CZ020,42,9,1
2020-04-09,CZ0205,CZ020,19,3,0
2020-04-09,CZ0206,CZ020,57,14,1
2020-04-09,CZ0207,CZ020,36,4,1
2020-04-09,CZ0208,CZ020,41,5,1
2020-04-09,CZ0209,CZ020,122,23,4
2020-04-09,CZ0311,CZ031,25,2,0
2020-04-09,CZ0312,CZ031,22,4,0
2020-04-09,CZ0313,CZ031,16,2,0
2020-04-09,CZ0314,CZ031,10,2,0
2020-04-09,CZ0315,CZ031,20,1,1
2020-04-09,CZ0316,CZ031,32,3,0
2020-04-09,CZ0317,CZ031,14,3,0
2020-04-09,CZ0321,CZ032,227,16,4
2020-04-09,CZ0322,CZ032,43,4,0
2020-04-09,CZ0323,CZ032,63,19,1
2020-04-09,CZ0324,CZ032,8,1,0
2020-04-09,CZ0325,CZ032,10,2,0
2020-04-09,CZ0326,CZ032,3,1,0
2020-04-09,CZ0327,CZ032,23,0,0
2020-04-09,CZ0411,CZ041,111,17,5
2020-04-09,CZ0412,CZ041,51,12,3
2020-04-09,CZ0413,CZ041,26,4,0
2020-04-09,CZ0421,CZ042,38,20,0
2020-04-09,CZ0422,CZ042,16,4,0
2020-04-09,CZ0423,CZ042,169,8,5
2020-04-09,CZ0424,CZ042,13,4,0
2020-04-09,CZ0425,CZ042,19,5,0
2020-04-09,CZ0426,CZ042,32,9,0
2020-04-09,CZ0427,CZ042,70,19,0
2020-04-09,CZ0511,CZ051,6,1,0
2020-04-09,CZ0512,CZ051,66,7,0
2020-04-09,CZ0513,CZ051,64,5,1
2020-04-09,CZ0514,CZ051,34,2,1
2020-04-09,CZ0521,CZ052,51,8,0
2020-04-09,CZ0522,CZ052,18,2,1
2020-04-09,CZ0523,CZ052,61,6,0
2020-04-09,CZ0524,CZ052,14,0,0
